"filename", "language", "YAML", "Markdown", "TypeScript", "JSON", "JavaScript", "MS SQL", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\explorer\components\ExplorerClient.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 1054, 0, 31, 28, 1113
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\explorer\components\ExplorerToolbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 292, 0, 10, 9, 311
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\explorer\components\types.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 1, 2, 22
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\explorer\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 4, 1, 14
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\new\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 190, 0, 0, 17, 207
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\new\ui.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 391, 0, 5, 19, 415
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\requests\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\dashboard\tools\marketplace\requests\ui.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 110, 0, 0, 10, 120
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 3, 4, 67
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\global-error.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 2, 4, 50
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 1, 0, 29
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\marketplace\ClientExplorer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -223, 0, 5, -10, -228
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\marketplace\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\marketplace\request\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\marketplace\request\ui.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 237, 0, 4, 30, 271
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 2, 32
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 243, 0, 0, -1, 242
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\app\sitemap.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 1, 6, 38
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\action-toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 3, 27
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\app-shell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 171
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\blocks\pricing.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -217, 0, 0, -19, -236
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\dashboard\charts.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 134, 0, 0, 4, 138
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\json-editor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 144, 0, 4, 12, 160
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\pickers\org-team-picker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 4, 5, 20
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\pickers\user-picker.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 4, 2, 13
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\sign-in.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\ui\toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -127, 0, -1, -14, -142
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, -32, 0, 0, -4, -36
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\visibility-select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 3, 36
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\visual-config-editor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 537, 0, 4, 26, 567
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\components\web-bg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 179, 0, 15, 24, 218
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\drizzle\0013_magical_shocker.sql", "MS SQL", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\drizzle\0014_volatile_toxin.sql", "MS SQL", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\drizzle\0015_marketplace_perf_indexes.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 2, 1, 5
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\drizzle\0016_marketplace_item_requests.sql", "MS SQL", 0, 0, 0, 0, 0, 28, 0, 0, 1, 2, 31
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\drizzle\meta\0013_snapshot.json", "JSON", 0, 0, 0, 2994, 0, 0, 0, 0, 0, 0, 2994
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\drizzle\meta\0014_snapshot.json", "JSON", 0, 0, 0, 2994, 0, 0, 0, 0, 0, 0, 2994
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\drizzle\meta\_journal.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 14
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\hooks\use-toast.ts", "TypeScript", 0, 0, -157, 0, 0, 0, 0, 0, -4, -33, -194
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\lib\auth.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\lib\creator-auth.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\next.config.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\package.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\packages\core\schemas\sl-schema.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 5, 6, 44
"c:\Users\Dabz\Desktop\Dev\sl.itzdabbzz.me\pnpm-lock.yaml", "YAML", 104, 0, 0, 0, 0, 0, 0, 0, 0, 26, 130
"Total", "-", 104, 56, 214, 6008, 34, 37, 5884, 20, 194, 362, 12913
